Andrei Semenov,Ricardo Almeida,2002-01-11 00:00:00,17
Kevin Randleman,Renato Sobral,2002-01-11 00:00:00,17
Gil Castillo,Chris Brennan,2002-01-11 00:00:00,17
Eugene Jackson,Keith Rockel,2002-01-11 00:00:00,17
Josh Barnett,Randy Couture,2002-03-22 00:00:00,20
Pedro Rizzo,Andrei Arlovski,2002-03-22 00:00:00,14
Matt Hughes,Hayato Sakurai,2002-03-22 00:00:00,15
Matt Lindland,Pat Miletich,2002-03-22 00:00:00,19
Evan Tanner,Elvis Sinosic,2002-03-22 00:00:00,15
Frank Mir,Pete Williams,2002-03-22 00:00:00,15
Matt Serra,Kelly Dullanty,2002-03-22 00:00:00,16
Sean Sherk,Jutaro Nakao,2002-03-22 00:00:00,17
Murilo Bustamante,Matt Lindland,2002-05-10 00:00:00,19
Ricco Rodriguez,Tsuyoshi Kohsaka,2002-05-10 00:00:00,15
BJ Penn,Paul Creighton,2002-05-10 00:00:00,15
Phil Baroni,Amar Suloev,2002-05-10 00:00:00,16
Caol Uno,Yves Edwards,2002-05-10 00:00:00,16
Ivan Salaverry,Andrei Semenov,2002-05-10 00:00:00,17
Robbie Lawler,Aaron Riley,2002-05-10 00:00:00,16
Chuck Liddell,Vitor Belfort,2002-06-22 00:00:00,16
Benji Radach,Nick Serra,2002-06-22 00:00:00,16
Pete Spratt,Zach Light,2002-06-22 00:00:00,16
Robbie Lawler,Steve Berger,2002-06-22 00:00:00,15
Tony Fryklund,Rodrigo Ruas,2002-06-22 00:00:00,16
Yves Edwards,Joao Pierini,2002-06-22 00:00:00,18
Matt Hughes,Carlos Newton,2002-07-13 00:00:00,15
Ian Freeman,Frank Mir,2002-07-13 00:00:00,17
Mark Weir,Eugene Jackson,2002-07-13 00:00:00,16
Genki Sudo,Leigh Remedios,2002-07-13 00:00:00,16
Phillip Miller,James Zikic,2002-07-13 00:00:00,16
Renato Sobral,Elvis Sinosic,2002-07-13 00:00:00,16
Evan Tanner,Chris Haseman,2002-07-13 00:00:00,14
Ricco Rodriguez,Randy Couture,2002-09-27 00:00:00,18
Tim Sylvia,Wesley Correira,2002-09-27 00:00:00,16
BJ Penn,Matt Serra,2002-09-27 00:00:00,15
Caol Uno,Din Thomas,2002-09-27 00:00:00,16
Gan McGee,Pedro Rizzo,2002-09-27 00:00:00,20
Phil Baroni,Dave Menne,2002-09-27 00:00:00,16
Matt Lindland,Ivan Salaverry,2002-09-27 00:00:00,15
Sean Sherk,Benji Radach,2002-09-27 00:00:00,16
Tito Ortiz,Ken Shamrock,2002-11-22 00:00:00,15
Chuck Liddell,Renato Sobral,2002-11-22 00:00:00,13
Matt Hughes,Gil Castillo,2002-11-22 00:00:00,14
Carlos Newton,Pete Spratt,2002-11-22 00:00:00,18
Robbie Lawler,Tiki Ghosn,2002-11-22 00:00:00,14
Andrei Arlovski,Ian Freeman,2002-11-22 00:00:00,19
Vladimir Matyushenko,Travis Wiuff,2002-11-22 00:00:00,16
Phillip Miller,Mark Weir,2002-11-22 00:00:00,16
Tim Sylvia,Ricco Rodriguez,2003-02-28 00:00:00,19
Frank Mir,David Abbott,2003-02-28 00:00:00,17
Matt Lindland,Phil Baroni,2003-02-28 00:00:00,15
Vladimir Matyushenko,Pedro Rizzo,2003-02-28 00:00:00,18
Din Thomas,Matt Serra,2003-02-28 00:00:00,17
Gan McGee,Alexandre Dantas,2003-02-28 00:00:00,16
Yves Edwards,Rich Clementi,2003-02-28 00:00:00,17
Matt Hughes,Sean Sherk,2003-04-25 00:00:00,15
Pete Spratt,Robbie Lawler,2003-04-25 00:00:00,19
Dave Strasser,Romie Aram,2003-04-25 00:00:00,16
Wesley Correira,Sean Alvarez,2003-04-25 00:00:00,17
Rich Franklin,Evan Tanner,2003-04-25 00:00:00,20
Duane Ludwig,Genki Sudo,2003-04-25 00:00:00,17
Hermes Franca,Richard Crunkilton,2003-04-25 00:00:00,16
David Loiseau,Mark Weir,2003-04-25 00:00:00,16
Randy Couture,Chuck Liddell,2003-06-06 00:00:00,18
Kimo Leopoldo,David Abbott,2003-06-06 00:00:00,18
Vitor Belfort,Marvin Eastman,2003-06-06 00:00:00,14
Frank Mir,Wes Sims,2003-06-06 00:00:00,15
Yves Edwards,Eddie Ruiz,2003-06-06 00:00:00,16
Falaniko Vitale,Matt Lindland,2003-06-06 00:00:00,20
Pedro Rizzo,Tra Telligman,2003-06-06 00:00:00,15
Randy Couture,Tito Ortiz,2003-09-26 00:00:00,18
Andrei Arlovski,Vladimir Matyushenko,2003-09-26 00:00:00,18
Tim Sylvia,Gan McGee,2003-09-26 00:00:00,16
Jorge Rivera,David Loiseau,2003-09-26 00:00:00,17
Rich Franklin,Edwin DeWees,2003-09-26 00:00:00,16
Karo Parisyan,Dave Strasser,2003-09-26 00:00:00,17
Josh Thomson,Gerald Strebendt,2003-09-26 00:00:00,16
